#               time              E_DMI            E_Demag  E_UniformExchange           E_Zeeman            E_total           Zeeman_x           Zeeman_y           Zeeman_z                m_x                m_y                m_z            m_error          real_time          rhs_evals               step 
#                <s>                <J>                <J>                <J>                <J>                <J>                 <>                 <>                 <>                 <>                 <>                 <>                 <>                <s>                 <>                 <> 
   7.33333333333e-10 -1.10137556725e-16  2.27206705261e-17  6.01555261908e-17 -1.61567231439e-17 -4.34180831519e-17                  0                  0             400000  -0.00167686550918    0.0117277982217     0.228993020852  4.58111815482e-07      1473891857.11               2062                 22 
   7.66666666667e-10 -1.10078598685e-16  2.27136891437e-17  6.00721792138e-17 -1.61699101723e-17 -4.34626404999e-17                  0                  0             400000  -0.00172683478915      0.01221029658     0.229179923693  9.79819436031e-07      1473891861.72               2066                 23 
               8e-10  -1.1004555598e-16   2.2713541227e-17   6.0004761183e-17 -1.61764050295e-17 -4.35036585998e-17                  0                  0             400000   -0.0017888191172    0.0125042881933     0.229271976825  9.72590904813e-07      1473891866.14               2070                 24 
   8.33333333333e-10 -1.10026068592e-16  2.27174298057e-17  5.99464246154e-17 -1.61789724119e-17 -4.35411865832e-17                  0                  0             400000  -0.00184470622074     0.012659003617     0.229308364937   5.1610265428e-07      1473891870.38               2074                 25 
   8.66666666667e-10 -1.10007567413e-16  2.27225591457e-17  5.98903039369e-17 -1.61807115371e-17 -4.35754158674e-17                  0                  0             400000  -0.00192127321513    0.0127263095783     0.229333013965   3.2640862857e-07      1473891874.68               2078                 26 
               9e-10 -1.09985826088e-16  2.27277206684e-17  5.98343509209e-17 -1.61828382276e-17 -4.36065927262e-17                  0                  0             400000   -0.0020744999498    0.0127299936638     0.229363156049  2.08291326853e-07      1473891878.95               2082                 27 
   9.33333333333e-10 -1.09963593145e-16  2.27330541261e-17  5.97803881367e-17 -1.61848084757e-17 -4.36349593578e-17                  0                  0             400000  -0.00235526729428    0.0126694779073     0.229391080837  1.80263136862e-07      1473891883.26               2086                 28 
   9.66666666667e-10 -1.09943831169e-16   2.2738813488e-17   5.9730202559e-17 -1.61859459042e-17  -4.3660761026e-17                  0                  0             400000  -0.00278536143313     0.012539033467     0.229407201876  1.27866844668e-07      1473891886.68               2089                 29 
               1e-09 -1.09926042065e-16  2.27446875405e-17  5.96835261791e-17 -1.61864403892e-17 -4.36842687347e-17                  0                  0             400000  -0.00335509854437    0.0123406927128     0.229414210329  9.86914676648e-08      1473891891.15               2093                 30 
   1.03333333333e-09 -1.09908056957e-16  2.27501126034e-17  5.96391149563e-17 -1.61869402692e-17 -4.37057696668e-17                  0                  0             400000  -0.00403263232711    0.0120856548549     0.229421295244  7.65533705316e-08      1473891947.97               2097                 31 
   1.06666666667e-09 -1.09889085788e-16  2.27548147853e-17  5.95964909229e-17 -1.61877508185e-17 -4.37255308978e-17                  0                  0             400000  -0.00477413151816    0.0117897618257      0.22943278335  5.08016928524e-08      1473891952.31               2101                 32 
             1.1e-09 -1.09870303121e-16  2.27589072298e-17  5.95562823088e-17 -1.61886557972e-17 -4.37437693799e-17                  0                  0             400000  -0.00553310919326    0.0114678181493     0.229445609825  5.43359580663e-08      1473891956.69               2105                 33 
   1.13333333333e-09 -1.09853455515e-16  2.27626376378e-17  5.95194476707e-17 -1.61892753541e-17 -4.37606455606e-17                  0                  0             400000  -0.00626908595404    0.0111285898014      0.22945439095  4.51800015178e-08      1473891961.06               2109                 34 
   1.16666666667e-09 -1.09839677683e-16  2.27661838638e-17  5.94865936532e-17 -1.61893748047e-17 -4.37762749711e-17                  0                  0             400000  -0.00695279217355    0.0107718912181     0.229455800486  3.16614826579e-08      1473891965.44               2113                 35 
             1.2e-09 -1.09829307762e-16  2.27696217231e-17  5.94578466865e-17 -1.61889055715e-17 -4.37907449241e-17                  0                  0             400000  -0.00756613335188    0.0103892278252     0.229449149935  2.72613117636e-08      1473891968.74               2116                 36 
   1.23333333333e-09 -1.09822144868e-16  2.27729517827e-17  5.94330016097e-17 -1.61879364828e-17 -4.38041279587e-17                  0                  0             400000  -0.00809911329824   0.00996774400804     0.229435414813  2.70676828729e-08      1473891973.13               2120                 37 
   1.26666666667e-09 -1.09817695949e-16  2.27761193022e-17  5.94116900504e-17 -1.61866031386e-17 -4.38164897351e-17                  0                  0             400000  -0.00854686234093   0.00949539391718     0.229416517014   2.8328414281e-08      1473891977.53               2124                 38 
             1.3e-09  -1.0981540144e-16  2.27790423797e-17  5.93935290718e-17 -1.61850622269e-17 -4.38278922152e-17                  0                  0             400000  -0.00890815406083    0.0089650355025     0.229394677312  3.17365643765e-08      1473891981.94               2128                 39 
   1.33333333333e-09  -1.0981484299e-16  2.27816539849e-17  5.93782348896e-17 -1.61834399497e-17 -4.38383940655e-17                  0                  0             400000   -0.0091849485883   0.00837628190213     0.229371684397  2.61008795688e-08      1473891986.29               2132                 40 
   1.36666666667e-09 -1.09815825404e-16  2.27839277916e-17   5.9365650074e-17 -1.61818027245e-17 -4.38480502631e-17                  0                  0             400000  -0.00938211607206   0.00773516549075      0.22934847962  3.14398855839e-08      1473891990.97               2136                 41 
             1.4e-09   -1.098182965e-16  2.27858745794e-17  5.93556797175e-17 -1.61801699631e-17 -4.38569121662e-17                  0                  0             400000   -0.0095068371263    0.0070523593239      0.22932533811  3.20931188291e-08      1473891995.43               2140                 42 
   1.43333333333e-09 -1.09822183239e-16  2.27875172008e-17  5.93481869048e-17 -1.61785493302e-17 -4.38650284641e-17                  0                  0             400000  -0.00956768717085   0.00634090084774     0.229302368501   2.3222628931e-08      1473891998.73               2143                 43 
   1.46666666667e-09 -1.09827260357e-16  2.27888661018e-17  5.93429152881e-17 -1.61769677099e-17 -4.38724466774e-17                  0                  0             400000  -0.00957370679889   0.00561422330965     0.229279951827  2.22129395988e-08       1473892003.1               2147                 44 
             1.5e-09  -1.0983311256e-16  2.27899076197e-17  5.93394737048e-17 -1.61754833509e-17 -4.38792145861e-17                  0                  0             400000  -0.00953373775849   0.00488487477732     0.229258913659  2.14173697666e-08      1473892007.52               2151                 45 
   1.53333333333e-09 -1.09839187045e-16  2.27906089173e-17  5.93373759439e-17 -1.61741789229e-17 -4.38853811067e-17                  0                  0             400000  -0.00945605858345   0.00416393368231     0.229240425694  2.15669024861e-08      1473892011.93               2155                 46 
   1.56666666667e-09 -1.09844898521e-16  2.27909324635e-17  5.93361116553e-17 -1.61731420155e-17 -4.38909964176e-17                  0                  0             400000   -0.0093481696519    0.0034609033692     0.229225729363  1.84430382077e-08      1473892016.27               2159                 47 
             1.6e-09 -1.09849735987e-16   2.2790852367e-17  5.93352168254e-17 -1.61724446617e-17 -4.38961114562e-17                  0                  0             400000  -0.00921662486771   0.00278379686535     0.229215845605  1.71996755727e-08      1473892020.74               2163                 48 
   1.63333333333e-09  -1.0985333081e-16  2.27903645548e-17  5.93343195883e-17 -1.61721303389e-17 -4.39007770061e-17                  0                  0             400000  -0.00906686241812   0.00213924258244     0.229211390634  1.75049943429e-08       1473892025.1               2167                 49 
   1.66666666667e-09 -1.09855481991e-16  2.27894902971e-17  5.93331600926e-17 -1.61722110412e-17 -4.39050426426e-17                  0                  0             400000  -0.00890309847518   0.00153251202343     0.229212534446  1.63712770007e-08      1473892028.43               2170                 50 
             1.7e-09 -1.09856146521e-16  2.27882724784e-17  5.93315886908e-17 -1.61726703641e-17 -4.39089557161e-17                  0                  0             400000  -0.00872833145102  0.000967500101263     0.229219044538  1.61312847524e-08      1473892032.87               2174                 51 
   1.73333333333e-09 -1.09855412212e-16   2.2786767949e-17  5.93295527436e-17 -1.61734690026e-17 -4.39125605224e-17                  0                  0             400000  -0.00854448694585  0.000446724195503     0.229230363829  1.45075167435e-08       1473892037.3               2178                 52 
   1.76666666667e-09 -1.09853465839e-16  2.27850413485e-17   5.9327080297e-17 -1.61745534778e-17 -4.39158976716e-17                  0                  0             400000  -0.00835264666517 -2.86211364443e-05     0.229245734349  1.42500966582e-08      1473892041.67               2182                 53 
             1.8e-09  -1.0985056276e-16  2.27831587892e-17  5.93242614505e-17 -1.61758611859e-17 -4.39190037067e-17                  0                  0             400000  -0.00815332042171 -0.000458511687408     0.229264268802  1.31884110299e-08      1473892046.09               2186                 54 
   1.83333333333e-09 -1.09846999897e-16  2.27811821856e-17  5.93212311133e-17  -1.6177324398e-17 -4.39219109959e-17                  0                  0             400000  -0.00794669437992 -0.000843903933376      0.22928500725  1.19771583762e-08      1473892050.44               2190                 55 
   1.86666666667e-09 -1.09843088482e-16  2.27791661864e-17  5.93181498968e-17 -1.61788754392e-17 -4.39246478383e-17                  0                  0             400000  -0.00773283185227  -0.00118651568215      0.22930699052   1.0566682862e-08      1473892054.84               2194                 56 
             1.9e-09 -1.09839128812e-16  2.27771559256e-17  5.93151854955e-17 -1.61804513324e-17  -4.3927238723e-17                  0                  0             400000  -0.00751181638864  -0.00148862546567     0.229329326024   1.1708542913e-08      1473892058.16               2197                 57 
   1.93333333333e-09  -1.0983538975e-16  2.27751852106e-17  5.93124970531e-17 -1.61819972179e-17 -4.39297047042e-17                  0                  0             400000  -0.00728384288623  -0.00175289595245     0.229351236221  1.14898985881e-08      1473892062.55               2201                 58 
   1.96666666667e-09 -1.09832093744e-16  2.27732757784e-17  5.93102224062e-17 -1.61834682539e-17 -4.39320638138e-17                  0                  0             400000  -0.00704928326153  -0.00198222871101     0.229372085558  1.07149054074e-08      1473892066.97               2205                 59 
               2e-09 -1.09829408338e-16  2.27714378289e-17   5.9308470658e-17 -1.61848315937e-17 -4.39343314451e-17                  0                  0             400000  -0.00680870984657  -0.00217965639245     0.229391408493  9.26609899921e-09      1473892071.61               2209                 60 
