#               time           E_Zeeman            E_total                m_x                m_y                m_z 
#                <s>                <J>                <J>                 <>                 <>                 <> 
               1e-11     -79999.9999873     -79999.9999873    -0.131523246777     0.585407239323     0.799999999873 
               2e-11     -79999.9999831     -79999.9999831    -0.256648869248     0.542338785305     0.799999999831 
               3e-11     -79999.9999861     -79999.9999861    -0.369290439703     0.472889597233     0.799999999861 
               4e-11     -79999.9999908     -79999.9999908    -0.463968786477     0.380437859736     0.799999999908 
               5e-11     -79999.9999954     -79999.9999954    -0.536078514643     0.269480659817     0.799999999954 
               6e-11     -79999.9999997     -79999.9999997    -0.582112024127      0.14541523711     0.799999999997 
               7e-11      -80000.000003      -80000.000003    -0.599830128297    0.0142764484605      0.80000000003 
               8e-11     -80000.0000096     -80000.0000096    -0.588370973531    -0.117556782822     0.800000000096 
               9e-11      -80000.000014      -80000.000014    -0.548291962256    -0.243671753987      0.80000000014 
               1e-10     -80000.0000193     -80000.0000193    -0.481542639269    -0.357933912957     0.800000000193 
             1.1e-10     -80000.0000245     -80000.0000245    -0.391369860935    -0.454785258507     0.800000000245 
             1.2e-10     -80000.0000293     -80000.0000293    -0.282159859905    -0.529514695537     0.800000000293 
             1.3e-10     -80000.0000336     -80000.0000336    -0.159224887638    -0.578487194696     0.800000000336 
             1.4e-10     -80000.0000371     -80000.0000371   -0.0285448129989    -0.599320609436     0.800000000371 
             1.5e-10     -80000.0000439     -80000.0000439     0.103523753715    -0.591001549535     0.800000000439 
             1.6e-10     -80000.0000482     -80000.0000482     0.230556662442    -0.553934675229     0.800000000482 
             1.7e-10     -80000.0000536     -80000.0000536      0.34637471029    -0.489923013343     0.800000000536 
             1.8e-10     -80000.0000588     -80000.0000588     0.445344213653    -0.402080253454     0.800000000588 
             1.9e-10     -80000.0000636     -80000.0000636     0.522651044866    -0.294679290215     0.800000000636 
               2e-10      -80000.000068      -80000.000068     0.574534803585    -0.172944378893      0.80000000068 
             2.1e-10     -80000.0000716     -80000.0000716     0.598471732203    -0.042797014344     0.800000000716 
             2.2e-10     -80000.0000787     -80000.0000787     0.593297477741    0.0894321055019     0.800000000787 
             2.3e-10     -80000.0000828     -80000.0000828     0.559263729087     0.217311020872     0.800000000828 
             2.4e-10     -80000.0000883     -80000.0000883     0.498025974157     0.334619376964     0.800000000883 
             2.5e-10     -80000.0000935     -80000.0000935     0.412562972662     0.435650997802     0.800000000935 
             2.6e-10     -80000.0000984     -80000.0000984     0.307031861763     0.515491449093     0.800000000984 
             2.7e-10     -80000.0001028     -80000.0001028     0.186565942368     0.570257088784     0.800000001028 
             2.8e-10     -80000.0001066     -80000.0001066    0.0570249823521     0.597283977275     0.800000001066 
             2.9e-10     -80000.0001134     -80000.0001134    -0.075289817416      0.59525745812     0.800000001134 
               3e-10      -80000.000117      -80000.000117    -0.203942329471     0.564276106325      0.80000000117 
             3.1e-10     -80000.0001224     -80000.0001224    -0.322674569309      0.50584693352     0.800000001224 
             3.2e-10     -80000.0001277     -80000.0001277     -0.42571109963     0.422812082846     0.800000001277 
             3.3e-10     -80000.0001326     -80000.0001326    -0.508039962264     0.319210580054     0.800000001326 
             3.4e-10     -80000.0001371     -80000.0001371     -0.56565647252     0.200081865021     0.800000001371 
             3.5e-10     -80000.0001409     -80000.0001409     -0.59575801721    0.0712206606029     0.800000001409 
             3.6e-10     -80000.0001477     -80000.0001477    -0.596880380831   -0.0611048973626     0.800000001477 
             3.7e-10     -80000.0001515     -80000.0001515    -0.568968968733    -0.190458158105     0.800000001515 
             3.8e-10      -80000.000157      -80000.000157    -0.513381462888    -0.310547050925      0.80000000157 
             3.9e-10     -80000.0001623     -80000.0001623    -0.432821780559    -0.415530147484     0.800000001623 
               4e-10     -80000.0001672     -80000.0001672    -0.331208549027    -0.500300803692     0.800000001672 
             4.1e-10     -80000.0001718     -80000.0001718    -0.213484493606    -0.560735559819     0.800000001718 
             4.2e-10     -80000.0001757     -80000.0001757   -0.0853760109552    -0.593894716057     0.800000001757 
             4.3e-10     -80000.0001813     -80000.0001813    0.0468853773918    -0.598165326939     0.800000001813 
             4.4e-10     -80000.0001858     -80000.0001858     0.176866142031    -0.573339659041     0.800000001858 
             4.5e-10      -80000.000191      -80000.000191     0.298243688887    -0.520625295937      0.80000000191 
             4.6e-10     -80000.0001963     -80000.0001963     0.405113906219    -0.442586397937     0.800000001963 
             4.7e-10     -80000.0002013     -80000.0002013     0.492278355591    -0.343018974973     0.800000002013 
             4.8e-10     -80000.0002059     -80000.0002059     0.555497137109    -0.226766239051     0.800000002059 
             4.9e-10     -80000.0002099     -80000.0002099     0.591695128902   -0.0994830181094     0.800000002099 
               5e-10     -80000.0002153     -80000.0002153     0.599111568837    0.0326393091375     0.800000002153 
             5.1e-10     -80000.0002202     -80000.0002202     0.577385702389      0.16317397757     0.800000002202 
             5.2e-10     -80000.0002254     -80000.0002254     0.527574330918     0.285771449827     0.800000002254 
             5.3e-10     -80000.0002308     -80000.0002308     0.452100405864     0.394468273901     0.800000002308 
             5.4e-10     -80000.0002358     -80000.0002358     0.354635170373     0.483977160576     0.800000002358 
             5.5e-10     -80000.0002405     -80000.0002405     0.239919580712     0.549944170573     0.800000002405 
             5.6e-10     -80000.0002446     -80000.0002446     0.113533694132     0.589160501219     0.800000002446 
             5.7e-10      -80000.000249      -80000.000249   -0.0183747592753     0.599718570749      0.80000000249 
             5.8e-10     -80000.0002544     -80000.0002544    -0.149389417754     0.581104807763     0.800000002544 
             5.9e-10     -80000.0002593     -80000.0002593     -0.27313739601     0.534224633032     0.800000002593 
               6e-10     -80000.0002647     -80000.0002647    -0.383599278509      0.46135841716     0.800000002647 
             6.1e-10     -80000.0002698     -80000.0002698    -0.475401919107     0.366050557695     0.800000002698 
             6.2e-10     -80000.0002745     -80000.0002745    -0.544079804525     0.252937070668     0.800000002745 
             6.3e-10     -80000.0002787     -80000.0002787    -0.586292268232     0.127520082994     0.800000002787 
             6.4e-10     -80000.0002828     -80000.0002828    -0.599985988942  -0.00409980493784     0.800000002828 
