#               step               time           E_Zeeman            E_total                m_x                m_y                m_z            m_error            skx_num 
#                 <>                <s>                <J>                <J>                 <>                 <>                 <>                 <>                 <> 
                  19            1.9e-11     -16639.8205984     -16639.8205984     0.930945298294      0.32504228685     0.166398205984  1.94822935562e-10                  0 
                  20              2e-11      -17498.059295      -17498.059295     0.923658582463     0.340934912745      0.17498059295  2.02148298101e-10                  0 
                  21            2.1e-11     -18353.6470652     -18353.6470652     0.916034053057     0.356645450233     0.183536470652  2.04274042126e-10                  0 
                  22            2.2e-11     -19206.4630867     -19206.4630867     0.908076904505      0.37216597462     0.192064630867  2.05252814744e-10                  0 
                  23            2.3e-11     -20056.3881822     -20056.3881822      0.89979254063     0.387488725928     0.200563881822  2.07051487067e-10                  0 
                  24            2.4e-11     -20903.3048816     -20903.3048816     0.891186568748     0.402606114917     0.209033048816  2.08627337628e-10                  0 
                  25            2.5e-11     -21747.0974815     -21747.0974815     0.882264793572     0.417510728866     0.217470974815  2.08692840786e-10                  0 
                  26            2.6e-11     -22587.6521037     -22587.6521037     0.873033210939     0.432195337119     0.225876521037  2.07428962895e-10                  0 
                  27            2.7e-11     -23424.8567498     -23424.8567498     0.863498001365     0.446652896387     0.234248567498  2.05750416704e-10                  0 
                  28            2.8e-11     -24258.6013558     -24258.6013558     0.853665523456     0.460876555794     0.242586013558  2.04069983134e-10                  0 
                  29            2.9e-11     -25088.7778418     -25088.7778418     0.843542307155     0.474859661665     0.250887778418  2.02167393937e-10                  0 
                  30              3e-11     -25915.2801619     -25915.2801619     0.833135046863      0.48859576206     0.259152801619  1.99798955158e-10                  0 
                  31            3.1e-11     -26738.0043496     -26738.0043496     0.822450594433     0.502078611039     0.267380043496  1.97037608451e-10                  0 
                  32            3.2e-11     -27556.8485624     -27556.8485624     0.811495952052     0.515302172658     0.275568485624  1.94092741879e-10                  0 
                  33            3.3e-11     -28371.7131228     -28371.7131228     0.800278265015     0.528260624702     0.283717131228  1.91055282706e-10                  0 
                  34            3.4e-11     -29182.5005575     -29182.5005575      0.78880481442     0.540948362132     0.291825005575  1.88016491265e-10                  0 
                  35            3.5e-11     -29989.1156342     -29989.1156342     0.777083009769     0.553360000276     0.299891156342  1.85324866564e-10                  0 
                  36            3.6e-11     -30791.4653954     -30791.4653954     0.765120381516     0.565490377729     0.307914653954  1.82412529526e-10                  0 
                  37            3.7e-11     -31589.4591901     -31589.4591901     0.752924573547     0.577334558985     0.315894591901  1.79335435391e-10                  0 
                  38            3.8e-11     -32383.0087028     -32383.0087028      0.74050333562     0.588887836789     0.323830087028  1.76120451556e-10                  0 
                  39            3.9e-11     -33172.0279804     -33172.0279804      0.72786451577     0.600145734222     0.331720279804  1.72766800866e-10                  0 
                  40              4e-11      -33956.433456      -33956.433456     0.715016052689     0.611104006494      0.33956433456  1.69276814788e-10                  0 
                  41            4.1e-11     -34736.1439707     -34736.1439707     0.701965968098     0.621758642485     0.347361439707  1.65666813601e-10                  0 
                  42            4.2e-11     -35511.0807928     -35511.0807928     0.688722359113     0.632105865997     0.355110807928  1.61956115186e-10                  0 
                  43            4.3e-11     -36281.1676346     -36281.1676346     0.675293390618     0.642142136741     0.362811676346  1.58156598928e-10                  0 
                  44            4.4e-11     -37046.3306665     -37046.3306665     0.661687287668     0.651864151066     0.370463306665   1.5427503719e-10                  0 
                  45            4.5e-11      -37806.498529      -37806.498529     0.647912327908      0.66126884241      0.37806498529  1.50319423575e-10                  0 
                  46            4.6e-11     -38561.6023424     -38561.6023424     0.633976834039     0.670353381499     0.385616023424  1.46300083159e-10                  0 
                  47            4.7e-11     -39311.5757136     -39311.5757136     0.619889166333     0.679115176292     0.393115757136  1.42227007949e-10                  0 
                  48            4.8e-11     -40056.3547413     -40056.3547413     0.605657715202     0.687551871661     0.400563547413  1.38108857684e-10                  0 
                  49            4.9e-11     -40795.8780185     -40795.8780185     0.591290893836     0.695661348839     0.407958780185  1.33952737791e-10                  0 
                  50              5e-11     -41530.0866329     -41530.0866329     0.576797130923     0.703441724613     0.415300866329  1.29766197787e-10                  0 
                  51            5.1e-11     -42258.9241649     -42258.9241649     0.562184863441     0.710891350285     0.422589241649  1.25556787189e-10                  0 
                  52            5.2e-11     -42982.3366838     -42982.3366838     0.547462529557     0.718008810398     0.429823366838  1.21331611425e-10                  0 
                  53            5.3e-11     -43700.2727417     -43700.2727417     0.532638561614     0.724792921238     0.437002727417  1.17097664898e-10                  0 
                  54            5.4e-11     -44412.6833654     -44412.6833654     0.517721379237     0.731242729115     0.444126833654  1.12860942814e-10                  0 
                  55            5.5e-11     -45119.5220462     -45119.5220462     0.502719382545     0.737357508424     0.451195220462  1.08627551398e-10                  0 
                  56            5.6e-11     -45820.7447279     -45820.7447279     0.487640945489     0.743136759508     0.458207447279  1.04403374834e-10                  0 
                  57            5.7e-11     -46516.3097931     -46516.3097931     0.472494409321     0.748580206313     0.465163097931  1.00193964236e-10                  0 
                  58            5.8e-11     -47206.1780469     -47206.1780469     0.457288076194     0.753687793851     0.472061780469  9.60047596976e-11                  0 
                  59            5.9e-11        -47890.3127        -47890.3127     0.442030202902     0.758459685474        0.478903127  9.18404241546e-11                  0 
                  60              6e-11     -48568.6793491     -48568.6793491     0.426728994768      0.76289625997     0.485686793491  8.77057315662e-11                  0 
                  61            6.1e-11     -49241.2459562     -49241.2459562     0.411392599683      0.76699810849     0.492412459562  8.36047897579e-11                  0 
                  62            6.2e-11     -49907.9828261     -49907.9828261     0.396029102294     0.770766031296     0.499079828261   7.9541817577e-11                  0 
                  63            6.3e-11     -50568.8625822     -50568.8625822     0.380646518364     0.774201034371     0.505688625822   7.5521033871e-11                  0 
                  64            6.4e-11     -51223.8601417     -51223.8601417      0.36525278928     0.777304325859     0.512238601417  7.15455472644e-11                  0 
                  65            6.5e-11     -51872.9526882     -51872.9526882     0.349855776742     0.780077312377     0.518729526882  6.76190214932e-11                  0 
                  66            6.6e-11     -52516.1196439     -52516.1196439     0.334463257613     0.782521595187     0.525161196439  6.37444541596e-11                  0 
                  67            6.7e-11     -53153.3426401     -53153.3426401     0.319082918945     0.784638966234     0.531533426401   6.1695315523e-11                  0 
                  68            6.8e-11     -53784.6054864     -53784.6054864     0.303722353184     0.786431404069     0.537846054864  6.89417412048e-11                  0 
                  69            6.9e-11       -54409.89414       -54409.89414     0.288389053549     0.787901069687       0.5440989414  7.33628713334e-11                  0 
                  70              7e-11      -55029.196672      -55029.196672     0.273090409586     0.789050302209      0.55029196672  6.97263358163e-11                  0 
                  71            7.1e-11     -55642.5032333     -55642.5032333     0.257833702914      0.78988161448     0.556425032333  7.03312963424e-11                  0 
                  72            7.2e-11     -56249.8060211     -56249.8060211     0.242626103144     0.790397688632     0.562498060211  6.85508316778e-11                  0 
                  73            7.3e-11     -56851.0992424     -56851.0992424     0.227474663986     0.790601371485     0.568510992424  7.17551573715e-11                  0 
                  74            7.4e-11     -57446.3790784     -57446.3790784      0.21238631954     0.790495669949     0.574463790784  7.09556857714e-11                  0 
                  75            7.5e-11     -58035.6436466     -58035.6436466     0.197367880763     0.790083746292     0.580356436466  7.04192260059e-11                  0 
                  76            7.6e-11     -58618.8929641     -58618.8929641     0.182426032133     0.789368913395     0.586188929641  6.58803012143e-11                  0 
                  77            7.7e-11     -59196.1289078     -59196.1289078     0.167567328483     0.788354629931     0.591961289078  6.21810380963e-11                  0 
                  78            7.8e-11     -59767.3551768     -59767.3551768     0.152798192028     0.787044495512     0.597673551768  5.72507596885e-11                  0 
                  79            7.9e-11     -60332.5772521     -60332.5772521     0.138124909571     0.785442245783     0.603325772521  5.33514343815e-11                  0 
                  80              8e-11     -60891.8023573     -60891.8023573     0.123553629887     0.783551747502     0.608918023573  4.85069762135e-11                  0 
                  81            8.1e-11     -61445.0394177     -61445.0394177     0.109090361291     0.781376993571     0.614450394177  4.38051817042e-11                  0 
                  82            8.2e-11     -61992.2990205     -61992.2990205    0.0947409693802     0.778922098068     0.619922990205  3.84688947364e-11                  0 
                  83            8.3e-11     -62533.5933732     -62533.5933732    0.0805111749583     0.776191291257     0.625335933732  3.33837402167e-11                  0 
                  84            8.4e-11     -63068.9362629     -63068.9362629     0.066406552128      0.77318891459     0.630689362629    2.823363765e-11                  0 
                  85            8.5e-11     -63598.3430149     -63598.3430149    0.0524325265547      0.76991941571     0.635983430149  2.36607400339e-11                  0 
                  86            8.6e-11     -64121.8304515     -64121.8304515    0.0385943738981     0.766387343462     0.641218304515  1.97566407678e-11                  0 
                  87            8.7e-11     -64639.4168503     -64639.4168503    0.0248972184647     0.762597342905     0.646394168503  1.58971724673e-11                  0 
                  88            8.8e-11     -65151.1219028     -65151.1219028    0.0113460319283     0.758554150351     0.651511219028  1.24724675032e-11                  0 
                  89            8.9e-11      -65656.966673      -65656.966673  -0.00205436774056     0.754262588416      0.65656966673  9.81814629597e-12                  0 
                  90              9e-11     -66156.9735559     -66156.9735559   -0.0152993171609     0.749727561099     0.661569735559  7.42661487863e-12                  0 
                  91            9.1e-11     -66651.1662364     -66651.1662364   -0.0283843082979     0.744954048895     0.666511662364  5.11890529964e-12                  0 
                  92            9.2e-11     -67139.5696478     -67139.5696478   -0.0413049890732     0.739947103935     0.671395696478  3.28936877736e-12                  0 
                  93            9.3e-11      -67622.209931      -67622.209931   -0.0540571638086     0.734711845177      0.67622209931  1.69420033558e-12                  0 
                  94            9.4e-11     -68099.1143937     -68099.1143937    -0.066636793533     0.729253453627     0.680991143937  1.79634085384e-13                  0 
                  95            9.5e-11     -68570.3114702     -68570.3114702   -0.0790399961463     0.723577167619     0.685703114702  1.03206332369e-12                  0 
                  96            9.6e-11     -69035.8306806     -69035.8306806   -0.0912630464404     0.717688278143     0.690358306806  2.25153229394e-12                  0 
                  97            9.7e-11     -69495.7025912     -69495.7025912    -0.103302375992     0.711592124223     0.694957025912  3.30291349826e-12                  0 
                  98            9.8e-11     -69949.9587752     -69949.9587752    -0.115154572919     0.705294088362     0.699499587752   4.1480152646e-12                  0 
                  99            9.9e-11     -70398.6317731     -70398.6317731    -0.126816381505     0.698799592043     0.703986317731  5.07083264267e-12                  0 
                 100              1e-10     -70841.7550541     -70841.7550541    -0.138284701712     0.692114091295     0.708417550541  5.81001913247e-12                  0 
                 101           1.01e-10     -71279.3629779     -71279.3629779    -0.149556588565      0.68524307233     0.712793629779  6.45838937885e-12                  0 
                 102           1.02e-10     -71711.4907565     -71711.4907565    -0.160629251418     0.678192047248     0.717114907565   7.1640471333e-12                  0 
                 103           1.03e-10     -72138.1744172     -72138.1744172    -0.171500053114     0.670966549816     0.721381744172  7.64321939073e-12                  0 
                 104           1.04e-10     -72559.4507654     -72559.4507654    -0.182166509035      0.66357213132     0.725594507654  8.21298584697e-12                  0 
                 105           1.05e-10     -72975.3573483     -72975.3573483    -0.192626286048     0.656014356497     0.729753573483  8.74877947865e-12                  0 
                 106           1.06e-10     -73385.9324191     -73385.9324191    -0.202877201345     0.648298799545     0.733859324191  9.06696939751e-12                  0 
                 107           1.07e-10     -73791.2149016     -73791.2149016    -0.212917221196     0.640431040216     0.737912149016  9.56412726794e-12                  0 
                 108           1.08e-10     -74191.2443557     -74191.2443557    -0.222744459605     0.632416659989     0.741912443557  9.94693216683e-12                  0 
                 109           1.09e-10      -74586.060943      -74586.060943    -0.232357176872     0.624261238327      0.74586060943  1.02022834625e-11                  0 
                 110            1.1e-10     -74975.7053936     -74975.7053936    -0.241753778081     0.615970349025     0.749757053936  1.06024078406e-11                  0 
                 111           1.11e-10     -75360.2189727     -75360.2189727      -0.2509328115      0.60754955664     0.753602189727   1.0829781516e-11                  0 
                 112           1.12e-10     -75739.6434486     -75739.6434486    -0.259892966902     0.599004413009     0.757396434486  1.10753628491e-11                  0 
                 113           1.13e-10     -76114.0210613     -76114.0210613    -0.268633073822     0.590340453857     0.761140210613  1.13808962254e-11                  0 
                 114           1.14e-10     -76483.3944907     -76483.3944907    -0.277152099734     0.581563195495     0.764833944907  1.14468434731e-11                  0 
                 115           1.15e-10     -76847.8068268     -76847.8068268    -0.285449148169      0.57267813161     0.768478068268  1.17272858091e-11                  0 
                 116           1.16e-10     -77207.3015399     -77207.3015399    -0.293523456768     0.563690730138     0.772073015399  1.19328991133e-11                  0 
                 117           1.17e-10     -77561.9224512     -77561.9224512    -0.301374395278     0.554606430239     0.775619224512  1.19655396702e-11                  0 
                 118           1.18e-10     -77911.7137046     -77911.7137046    -0.309001463488     0.545430639355     0.779117137046  1.21871401859e-11                  0 
                 119           1.19e-10      -78256.719739      -78256.719739    -0.316404289124     0.536168730361      0.78256719739  1.22823973214e-11                  0 
